image_no,image_id,filename,source,url,date_captured,test_case_ids,element_type,screen_type,status,notes
11,IMG_011,amazon_product_rating_reviews_count.png.png,Amazon,https://www.amazon.com,2026-05-22,"REC-07,COPY-05",rating_reviews_social_proof,desktop,OK,"Amazon product detail page showing rating score, star rating, review count, Amazon's Choice badge, sustainability features, monthly purchase count, discount percentage, price, and urgency timer"
12,IMG_012,amazon_search_autocomplete_wireless_mouse.png.png,Amazon,https://www.amazon.com,2026-05-22,"UI-03,REC-03",search_autocomplete,desktop,OK,"Amazon search interface showing autocomplete suggestions for wireless mouse, including query refinements, product-related suggestions, and movement detection technology chips"
13,IMG_013,amazon_search_results_product_grid_cards.png.png,Amazon,https://www.amazon.com,2026-05-22,"UI-03,REC-07",search_results_product_grid,desktop,OK,"Amazon search results page showing product grid cards, filter sidebar, product images, product names, star ratings, review counts, price, delivery information, monthly purchase social proof, and Add to cart buttons"
14,IMG_014,amazon_search_sort_dropdown_options.png,Amazon,https://www.amazon.com,2026-05-22,UI-03,sort_dropdown,desktop,OK,"Amazon search results sort dropdown showing sorting options such as Featured, Price Low to High, Price High to Low, Avg Customer Review, Newest Arrivals, and Best Sellers"
15,IMG_015,booking_filter_panel_full_expanded.png,Booking.com,https://www.booking.com/searchresults.html,2026-05-22,"REC-03,REC-07",filter_panel,desktop,OK,"Hotel search results page for Dubai showing full expanded left-side filter panel with budget, popular filters, smart filters, property type filters, and hotel result cards"
16,IMG_016,booking_sort_dropdown.png,Booking.com,https://www.booking.com/searchresults.html,2026-05-22,"REC-03,REC-07",sort_dropdown,desktop,OK,"Hotel search results page with sort dropdown expanded, showing options such as top picks, price lowest first, price highest first, property rating, distance from city centre, top reviewed, and Genius discounts first"
17,IMG_017,booking_urgency_only_2_rooms.png,Booking.com,https://www.booking.com,2026-05-22,REC-07,urgency_signal,desktop,OK,"Room options table showing scarcity and urgency signals such as We have 7 left, Limited-time Deal, 30 percent off, crossed-out original price, current price, and reserve CTA"
18,IMG_018,booking_recently_viewed_section.png,Booking.com,https://www.booking.com,2026-05-22,"REC-07,REC-11",recently_viewed,desktop,OK,Booking.com page showing recent searches and Still interested property recommendations based on previously viewed or searched destinations and hotels
19,IMG_019,booking_price_dropped_notification.png,Booking.com,https://www.booking.com/searchresults.html,2026-05-22,"REC-07,REC-11",price_drop_signal,desktop,OK_PARTIAL,Hotel result cards showing crossed-out original prices and lower current prices with Getaway Deal labels; explicit Price dropped notification was not visible
20,IMG_020,booking_review_rating_format.png,Booking.com,https://www.booking.com,2026-05-22,"REC-07,REC-11",review_rating_format,desktop,OK,"Hotel detail page showing Booking.com review rating format with overall score, review count, top-rated guest experience card, and category rating such as Staff"
21,IMG_021,booking_guest_checkout_option.png,Booking.com,https://www.booking.com,2026-05-22,UI-10,checkout_account,desktop,OK_PARTIAL,"Booking checkout details page showing signed-in state, booking progress steps, guest details form, booking summary, and price summary; explicit guest checkout option was not visible"
22,IMG_022,booking_form_validation_error.png,Booking.com,https://www.booking.com,2026-05-22,"UI-10,COPY-09",form_validation_error,desktop,OK,Booking checkout form showing validation error messages for required guest information fields after submitting incomplete input
23,IMG_023,coursera_course_headline_outcome_focused.png.png,Coursera,https://www.coursera.org/specializations/become-an-emt,2026-05-22,"COPY-05,UI-11",course_hero_headline,desktop,OK,"Coursera specialization hero section showing an outcome-focused course headline, university/provider branding, instructor information, Enroll CTA, enrollment count, and course summary indicators"
24,IMG_024,coursera_course_hero_enroll_for_free.png.png,Coursera,https://www.coursera.org/learn/data-analysis-with-python,2026-05-22,"COPY-05,UI-11",course_hero_cta,desktop,OK,"Coursera course hero section showing course title, provider branding, instructor information, Enroll CTA, learner count, Coursera Plus inclusion, rating, level, schedule, and learner satisfaction summary"
25,IMG_025,coursera_course_social_proof_rating_reviews.png.jpg,Coursera,https://www.coursera.org/specializations/become-an-emt,2026-05-22,"REC-07,COPY-05",social_proof_rating,desktop,OK,"Coursera course summary bar showing social proof and decision-support signals including course series count, rating score, review count, beginner level, completion time, and flexible schedule"
26,IMG_026,coursera_plus_pricing_most_popular_badge.png,Coursera,https://www.coursera.org/courseraplus,2026-05-22,"COPY-05,UI-11",pricing_most_popular_badge,desktop,OK,"Coursera Plus pricing page showing tier cards with a Most popular badge, monthly subscription price, annual plan, CTA buttons, cancellation copy, and plan benefit bullets"
27,IMG_027,coursera_plus_pricing_tier_comparison.png.png,Coursera,https://www.coursera.org/courseraplus,2026-05-22,"COPY-05,UI-11",pricing_tier_comparison,desktop,OK,"Coursera Plus pricing comparison showing multiple plan tiers such as single learning program, monthly plan, and annual plan with prices, CTAs, refund or cancellation copy, and included benefits"
28,IMG_028,coursera_udemy_course_headline_content_focused.png.png,Coursera,https://www.coursera.org,2026-05-22,"COPY-05,UI-11",course_hero_headline,desktop,OK,"Online learning course hero section showing a content-focused course headline, specialization linkage, instructor information, Enroll CTA, learner count, and Coursera Plus inclusion message"
29,IMG_029,coursera_udemy_pricing_cta_buttons.png,Udemy,https://www.udemy.com,2026-05-22,"COPY-05,REC-07",course_grid_pricing,desktop,OK,"Udemy course listing section showing trending course cards with course images, titles, instructor names, Bestseller badges, ratings, rating counts, sale prices, and crossed-out original prices"
30,IMG_030,udemy_course_pricing_sale_original_price.png,Udemy,https://www.udemy.com,2026-05-22,"COPY-05,REC-07",pricing_sale_original_price,desktop,OK,"Udemy course pricing example showing discounted sale price, crossed-out original price, course card layout, rating information, and promotional pricing emphasis"
31,IMG_031,lazada_sg_mobile_checkout_layout.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-10,COPY-05",mobile_variant_selector_checkout,mobile,OK,"Lazada mobile product option sheet showing discounted price, original price, discount percentage, color family, cable length, quantity selector, and Buy Now CTA"
32,IMG_032,lazada_sg_mobile_product_page_layout.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-03,REC-07",mobile_product_grid,mobile,OK,"Lazada mobile product listing page showing search bar, product grid cards, LazMall badges, prices, star ratings, review counts, and bottom navigation"
33,IMG_033,lazada_sg_product_description_headphones_format.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,COPY-08,product_details_specifications,desktop,OK_PARTIAL,"Lazada product details section showing product specifications for headphones, including brand, model, SKU, headphone driver type, impedance, and a description area with promotional image content"
34,IMG_034,lazada_sg_product_description_jacket_format.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,COPY-08,product_description_narrative,desktop,OK,"Lazada product details section showing jacket specifications and narrative description copy about workwear influence, turn-down collar, seasonal wear, American style, and retro design"
35,IMG_035,lazada_sg_product_gallery_jacket_lifestyle.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-11,COPY-08",product_gallery_lifestyle_image,desktop,OK,"Lazada product detail page showing jacket product gallery with a lifestyle image, product title, sale price, discount, delivery promise, return policy, color options, size options, quantity selector, Buy Now CTA, and Add to Cart CTA"
36,IMG_036,lazada_sg_product_gallery_jacket_white_background.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-11,COPY-08",product_gallery_white_background,desktop,OK,"Lazada product detail page showing jacket product gallery with white-background product image, rating, sale price, large discount, delivery range, return policy, size and color selectors, quantity selector, Buy Now CTA, and Add to Cart CTA"
37,IMG_037,lazada_sg_product_static_gallery_headphones.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,UI-11,product_static_gallery,desktop,OK,"Lazada product page showing a static product gallery thumbnail strip for headphones, including video thumbnail, feature slides, and product image thumbnails"
38,IMG_038,lazada_sg_product_video_thumbnail_headphones.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,UI-11,product_video_thumbnail,desktop,OK,"Lazada product detail page showing a headphones product video thumbnail in the gallery with a play overlay, product title, rating, brand link, sale banner, discount price, promotion chip, delivery details, return policy, and color selector"
39,IMG_039,lazada_sg_search_autocomplete_wireless_suggestions.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-03,REC-03",search_autocomplete,desktop,OK,"Lazada search interface showing autocomplete suggestions for the query wireless, including wireless earbuds, wireless mouse, wireless charger, wireless keyboard, wireless microphone, wireless HDMI, and related searches"
40,IMG_040,lazada_sg_search_sort_dropdown_options.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,UI-03,sort_dropdown,desktop,OK,"Lazada search results page showing sort dropdown options such as Best Match, Price low to high, and Price high to low, alongside product grid cards and filter sidebar"
41,IMG_041,lazada_sg_category_pagination_or_infinite_scroll.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-03,REC-03",pagination_related_search,desktop,OK,"Lazada category/search results page showing pagination controls, product grid continuation, and related search links at the bottom of the listing page"
42,IMG_042,lazada_sg_category_product_grid_8_cards.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-03,REC-07",category_product_grid,desktop,OK,"Lazada Just For You product grid showing multiple product cards with images, LazMall or RedMart badges, product names, prices, discounts, star ratings, and review counts"
43,IMG_043,lazada_sg_category_quick_view_hover_popup.png.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,UI-09,product_gallery_hover_zoom,desktop,OK,"Lazada product page showing hover zoom or quick preview behavior over a product gallery image, with enlarged product image overlay and Buy Now and Add to Cart CTAs visible underneath"
44,IMG_044,lazada_sg_cta_add_to_cart_buy_now.png,Lazada Singapore,https://www.lazada.sg,2026-05-22,"UI-10,COPY-05",product_detail_cta_buttons,desktop,OK,"Lazada product detail page showing product title, LazMall badge, rating, price, discount, promotion banner, delivery promise, return policy, color selector, and prominent Buy Now and Add to Cart CTAs"
45,IMG_045,grabfood_menu_grid_view.png,GrabFood,https://food.grab.com,2026-05-22,UI-03,restaurant_menu_grid,desktop,OK,"GrabFood restaurant menu showing grid-style item cards with product images, names, descriptions, prices, and green add-to-cart buttons"
46,IMG_046,grabfood_menu_list_view.png,GrabFood,https://food.grab.com,2026-05-22,"UI-03,COPY-04",restaurant_menu_list,desktop,OK,"GrabFood restaurant page for Domino's Pizza showing menu category tabs, offer cards, item names, short promotional descriptions, discounted prices, and add-to-cart buttons"
47,IMG_047,grabfood_push_notification.png,GrabFood,,2026-05-22,COPY-04,food_delivery_push_notification,mobile,OK,Grab mobile push notification on the lock screen showing an order status update that the kitchen is preparing the food and prompting the user to tap for details
48,IMG_048,nike_push_generic_workout.png,5M Workout,,2026-05-22,COPY-04,generic_fitness_push_notification,mobile,OK,"Fitness app notification center showing generic workout reminder copy such as Are you ready to do some exercises, Today is a new day, and Tap to start now"
49,IMG_049,nike_push_goal_anchored.png,Apple Fitness,,2026-05-22,COPY-04,goal_anchored_fitness_push_notification,mobile,OK,"Apple Fitness push notifications showing goal-anchored copy related to checking daily ring progress, not closing the Move ring, and reaching a new Move goal"
50,IMG_050,zalora_quick_view_popup.png,Zalora,https://www.zalora.com,2026-05-22,UI-09,product_card_hover,desktop,OK_PARTIAL,Zalora category product grid showing product cards and a hover interaction through a Find Similar overlay; explicit Quick View or Quick Shop popup was not visible
51,IMG_051,uniqlo_product_narrative_description.png,Uniqlo,https://www.uniqlo.com,2026-05-22,COPY-08,product_narrative_description,desktop,OK,"Uniqlo product page for AIRism Cotton T-Shirt showing feature descriptions with narrative copy about fabric, cotton-like texture, quick-drying technology, neckline, silhouette, and styling"
52,IMG_052,netflix_pricing_tier_comparison.png,Netflix,https://www.netflix.com,2026-05-22,"COPY-05,UI-11",pricing_tier_comparison,desktop,OK,"Netflix pricing page showing tier comparison across Mobile, Basic, Standard, and Premium plans with monthly price, resolution, supported devices, simultaneous streams, download devices, and Most Popular badge"
53,IMG_053,netflix_cancellation_retain_options.png,Netflix,https://www.netflix.com,2026-05-22,COPY-05,cancellation_page,desktop,OK,"Netflix manage membership page showing cancellation and retention options including Change plan, Pause for a month, Cancel, and Return to watching"
54,IMG_054,netflix_recommendation_carousel.png,Netflix,https://www.netflix.com,2026-05-22,REC-06,recommendation_carousel,desktop,OK,"Netflix home page showing multiple horizontal recommendation carousels such as Watch-Party Picks, Top Searches, and Today's Top Picks for You in dark mode UI"
55,IMG_055,netflix_dark_mode_account_page.png,Netflix,https://www.netflix.com/account,2026-05-22,UI-11,account_page,desktop,OK_PARTIAL,"Netflix account page showing membership details, current plan, next payment, manage membership, change plan, payment method, and device management; page is account UI but not dark mode"
56,IMG_056,spotify_free_premium_pricing.png,Spotify,https://www.spotify.com,2026-05-22,COPY-11,pricing_cards,desktop,OK_PARTIAL,"Spotify pricing page showing Premium Individual and Premium Student plan cards with monthly price, benefits, cancel-anytime copy, subscription options, and CTA buttons; Free vs Premium comparison was not visible"
57,IMG_057,spotify_made_for_you_grid.png,Spotify,https://open.spotify.com,2026-05-22,REC-06,recommendation_grid,desktop,OK,"Spotify desktop app showing personalized recommendation grid with Made For user section, Daily Mix playlists, Discover Weekly, recent listening, and recommended music cards in dark mode"
58,IMG_058,shopee_homepage_hero.png,Shopee,https://shopee.sg,2026-05-22,REC-01,hero_banner,desktop,OK,"Hero banner full width with navigation bar, search bar, promotional banners, and category entry points"
59,IMG_059,shopee_homepage_flash_sale.png,Shopee,https://shopee.sg,2026-05-22,REC-01,flash_sale,desktop,OK,"Flash Deals section with countdown timer, discount badges, product cards, sale prices, and selling-fast indicators"
60,IMG_060,shopee_homepage_daily_discover.png,Shopee,https://shopee.sg,2026-05-22,REC-01,product_grid,desktop,OK,"Daily Discover section showing product recommendation grid with prices, sales count, discount badges, and product labels"
61,IMG_061,shopee_homepage_footer_section.png,Shopee,https://shopee.sg,2026-05-22,REC-01,footer_section,desktop,OK,Footer or SEO section after Daily Discover; Recently Viewed section was not visible
62,IMG_062,shopee_product_top_section.png,Shopee,https://shopee.sg,2026-05-22,"COPY-06,COPY-10,REC-04,REC-08",product_top_section,desktop,OK,"Product page top section showing product media, title, price range, discount, rating, ratings count, sold count, vouchers, shipping, guarantee, and CTA buttons"
63,IMG_063,shopee_product_cta_buttons.png,Shopee,https://shopee.sg,2026-05-22,"COPY-06,COPY-10,UI-06",cta_button,desktop,OK,Close-up of Add To Cart and Buy Now buttons with product option and quantity selector
64,IMG_064,shopee_product_reviews.png,Shopee,https://shopee.sg,2026-05-22,"COPY-06,COPY-10,REC-04,REC-08",review_section,desktop,OK,"Product ratings section showing 4.9 out of 5 score, star distribution, review filters, and first two user reviews with media"
65,IMG_065,shopee_product_you_may_like.png,Shopee,https://shopee.sg,2026-05-22,REC-08,cross_sell_recommendation,desktop,OK,"Product page recommendation sections showing From the Same Shop and You May Also Like with product cards, prices, ratings, sold counts, and discount badges"
66,IMG_066,shopee_checkout_address_form.png,Shopee,https://shopee.sg/checkout,2026-05-22,UI-01,checkout_address,desktop,OK,"Checkout page showing delivery address section, products ordered, shipping option, voucher, and order total using fake test delivery information"
67,IMG_067,shopee_checkout_payment_method.png,Shopee,https://shopee.sg/checkout,2026-05-22,UI-01,checkout_payment,desktop,OK,"Checkout page showing payment method selection, voucher, Shopee coins, selected PayNow method, and total payment summary"
68,IMG_068,shopee_checkout_order_confirmation.png,Shopee,https://shopee.sg/checkout,2026-05-22,UI-01,checkout_confirmation,desktop,OK,"Checkout final confirmation area showing subtotal, shipping fee, discounts, total payment, and Place Order button"
69,IMG_069,shopee_search_laptop_results.png,Shopee,https://shopee.sg/search?keyword=laptop,2026-05-22,"REC-02,REC-03",search_results,desktop,OK,"Search results page for laptop showing filter sidebar, sort bar, product grid, related shops, and product cards"
70,IMG_070,shopee_search_sort_dropdown.png,Shopee,https://shopee.sg/search?keyword=laptop,2026-05-22,"REC-02,REC-03",sort_dropdown,desktop,OK,"Search results page with sort dropdown expanded, showing price sorting options: low to high and high to low"
71,IMG_071,shopee_search_filter_sidebar.png,Shopee,https://shopee.sg/search?keyword=laptop,2026-05-22,"REC-02,REC-03",filter_sidebar,desktop,OK,"Search filter sidebar showing shop type, service and promotion, shipped from, shipping option, rating, price range, and payment option filters"
72,IMG_072,shopee_mobile_sticky_button.png,Shopee,https://shopee.vn,2026-05-22,UI-06,mobile_sticky_cta,mobile,OK,"Mobile product page showing sticky bottom CTA bar with Chat Now, Add to Cart, and Buy with Vouchers"
73,IMG_073,shopee_mobile_static_button_scroll.png,Shopee,https://shopee.vn,2026-05-22,UI-06,mobile_scrolled_cta,mobile,OK,"Mobile product page after scrolling to product ratings section; bottom CTA bar remains sticky with Chat Now, Add to Cart, and Buy with Vouchers"
74,IMG_074,tiki_product_trust_badges.png,Tiki,https://tiki.vn,2026-05-22,UI-07,trust_badge,desktop,OK,"Product page showing multiple trust badges including 100% authentic, freeship, 200% refund for fake goods, 30-day return, fast 2-hour delivery, official seller badge, rating, and buy buttons"
75,IMG_075,tiki_product_card_rating_review_count.png,Tiki,https://tiki.vn/search?q=tai%20nghe,2026-05-22,REC-04,product_card,desktop,OK,"Search results page showing Tiki product cards with product images, prices, star ratings, and sold counts as social proof signals"
76,IMG_076,tiki_price_original_sale_discount.png,Tiki,https://tiki.vn,2026-05-22,COPY-10,price_display,desktop,OK,"Product page showing sale price, original crossed-out price, and discount percentage"
77,IMG_077,tiki_price_sale_only.png,Tiki,https://tiki.vn,2026-05-22,COPY-10,price_display,desktop,OK,Product page showing a single current price without crossed-out original price or discount percentage
