id,test_id,model,run_number,ab_order,choice,prompt_tokens,completion_tokens,timestamp,raw_response
57,UI-10,gpt-4o,19,swapped,B,214,6,2026-05-22 17:23:43,
58,COPY-08,gpt-4o,9,swapped,A,204,6,2026-05-22 17:23:43,
59,REC-11,llama-3.3-70b,18,swapped,A,195,7,2026-05-22 17:23:43,
60,UI-10,gpt-4o,20,original,A,214,6,2026-05-22 17:23:44,
61,COPY-08,gpt-4o,10,original,A,204,6,2026-05-22 17:23:44,
62,REC-11,llama-3.3-70b,19,swapped,A,195,7,2026-05-22 17:23:45,
63,COPY-08,gpt-4o,10,swapped,A,204,6,2026-05-22 17:23:45,
64,UI-10,gpt-4o,20,swapped,B,214,6,2026-05-22 17:23:45,
65,REC-11,llama-3.3-70b,19,original,A,195,7,2026-05-22 17:23:45,
66,COPY-08,gpt-4o,11,original,A,204,6,2026-05-22 17:23:46,
67,UI-10,gpt-4o,21,original,A,214,6,2026-05-22 17:23:47,
68,UI-10,gpt-4o,21,swapped,B,214,6,2026-05-22 17:23:48,
69,COPY-08,gpt-4o,11,swapped,A,204,6,2026-05-22 17:23:48,
70,REC-11,llama-3.3-70b,20,original,A,195,7,2026-05-22 17:23:48,
71,UI-10,gpt-4o,22,original,A,214,6,2026-05-22 17:23:49,
72,COPY-08,gpt-4o,12,original,A,204,6,2026-05-22 17:23:49,
73,REC-11,llama-3.3-70b,20,swapped,A,195,7,2026-05-22 17:23:50,
74,UI-10,gpt-4o,22,swapped,A,214,6,2026-05-22 17:23:50,
75,COPY-08,gpt-4o,12,swapped,A,204,6,2026-05-22 17:23:50,
76,UI-10,gpt-4o,23,original,A,214,6,2026-05-22 17:23:52,
77,UI-10,llama-3.3-70b,1,original,A,239,7,2026-05-22 17:23:52,
78,COPY-08,gpt-4o,13,original,A,204,6,2026-05-22 17:23:52,
79,REC-11,llama-3.3-70b,21,original,A,195,7,2026-05-22 17:23:53,
80,UI-10,gpt-4o,23,swapped,A,214,6,2026-05-22 17:23:53,
81,COPY-08,gpt-4o,13,swapped,A,204,6,2026-05-22 17:23:53,
82,UI-10,llama-3.3-70b,1,swapped,A,239,7,2026-05-22 17:23:53,
83,UI-10,gpt-4o,24,original,A,214,6,2026-05-22 17:23:54,
84,COPY-08,gpt-4o,14,original,A,204,6,2026-05-22 17:23:54,
85,REC-11,llama-3.3-70b,21,swapped,A,195,7,2026-05-22 17:23:54,
86,UI-10,gpt-4o,24,swapped,B,214,6,2026-05-22 17:23:55,
87,COPY-08,gpt-4o,14,swapped,A,204,6,2026-05-22 17:23:56,
88,UI-10,gpt-4o,25,original,A,214,6,2026-05-22 17:23:56,
89,REC-11,llama-3.3-70b,22,original,A,195,7,2026-05-22 17:23:56,
90,COPY-08,gpt-4o,15,original,A,204,6,2026-05-22 17:23:57,
91,UI-10,llama-3.3-70b,2,original,A,239,7,2026-05-22 17:23:57,
92,COPY-08,gpt-4o,15,swapped,A,204,6,2026-05-22 17:23:58,
93,REC-11,llama-3.3-70b,22,swapped,A,195,7,2026-05-22 17:23:59,
94,UI-10,gpt-4o,25,swapped,B,214,6,2026-05-22 17:23:59,
95,UI-10,llama-3.3-70b,2,swapped,A,239,7,2026-05-22 17:23:59,
96,COPY-08,gpt-4o,16,original,A,204,6,2026-05-22 17:23:59,
97,COPY-08,gpt-4o,16,swapped,A,204,6,2026-05-22 17:24:01,
98,COPY-08,gpt-4o,17,original,A,204,6,2026-05-22 17:24:01,"{""choice"": ""A""}"
99,UI-10,llama-3.3-70b,3,original,A,239,7,2026-05-22 17:24:01,
100,REC-11,llama-3.3-70b,23,original,A,195,7,2026-05-22 17:24:02,
101,COPY-08,gpt-4o,17,swapped,A,204,6,2026-05-22 17:24:02,"{""choice"": ""B""}"
102,COPY-08,gpt-4o,18,original,A,204,6,2026-05-22 17:24:02,"{""choice"": ""A""}"
103,COPY-08,gpt-4o,18,swapped,A,204,6,2026-05-22 17:24:03,"{""choice"": ""B""}"
104,COPY-08,gpt-4o,19,original,A,204,6,2026-05-22 17:24:03,"{""choice"": ""A""}"
105,REC-11,llama-3.3-70b,23,swapped,A,195,7,2026-05-22 17:24:03,
106,COPY-08,gpt-4o,19,swapped,A,204,6,2026-05-22 17:24:04,"{""choice"": ""B""}"
107,UI-10,llama-3.3-70b,3,swapped,A,239,7,2026-05-22 17:24:04,
108,COPY-08,gpt-4o,20,original,A,204,6,2026-05-22 17:24:05,"{""choice"": ""A""}"
109,COPY-08,gpt-4o,20,swapped,A,204,6,2026-05-22 17:24:05,"{""choice"": ""B""}"
110,UI-10,llama-3.3-70b,4,original,A,239,7,2026-05-22 17:24:06,
111,COPY-08,gpt-4o,21,original,A,204,6,2026-05-22 17:24:06,"{""choice"": ""A""}"
112,REC-11,llama-3.3-70b,24,original,A,195,7,2026-05-22 17:24:06,
113,COPY-08,gpt-4o,21,swapped,A,204,6,2026-05-22 17:24:07,"{""choice"": ""B""}"
114,COPY-08,gpt-4o,22,original,A,204,6,2026-05-22 17:24:07,
115,COPY-08,gpt-4o,22,swapped,A,204,6,2026-05-22 17:24:08,
116,UI-10,llama-3.3-70b,4,swapped,A,239,7,2026-05-22 17:24:08,
117,COPY-08,gpt-4o,23,original,A,204,6,2026-05-22 17:24:08,
118,COPY-08,gpt-4o,23,swapped,A,204,6,2026-05-22 17:24:09,
119,REC-11,llama-3.3-70b,24,swapped,A,195,7,2026-05-22 17:24:09,
120,COPY-08,gpt-4o,24,original,A,204,6,2026-05-22 17:24:10,
121,UI-10,llama-3.3-70b,5,original,A,239,7,2026-05-22 17:24:10,
122,COPY-08,gpt-4o,24,swapped,A,204,6,2026-05-22 17:24:10,
123,COPY-08,gpt-4o,25,original,A,204,6,2026-05-22 17:24:11,
124,REC-11,llama-3.3-70b,25,original,A,195,7,2026-05-22 17:24:11,
125,COPY-08,gpt-4o,25,swapped,A,204,6,2026-05-22 17:24:11,
126,UI-11,gpt-4o,1,original,B,222,6,2026-05-22 17:24:12,
127,UI-10,llama-3.3-70b,5,swapped,A,239,7,2026-05-22 17:24:12,
128,UI-11,gpt-4o,1,swapped,B,222,6,2026-05-22 17:24:13,
129,UI-11,gpt-4o,2,original,B,222,6,2026-05-22 17:24:13,
130,REC-11,llama-3.3-70b,25,swapped,A,195,7,2026-05-22 17:24:13,
131,UI-11,gpt-4o,3,original,B,222,6,2026-05-22 17:24:14,
132,UI-11,gpt-4o,2,swapped,B,222,6,2026-05-22 17:24:14,
133,UI-10,llama-3.3-70b,6,original,A,239,7,2026-05-22 17:24:14,
134,UI-11,gpt-4o,4,original,B,222,6,2026-05-22 17:24:16,
135,UI-11,gpt-4o,3,swapped,B,222,6,2026-05-22 17:24:16,
136,UI-10,llama-3.3-70b,6,swapped,A,239,7,2026-05-22 17:24:16,
137,UI-11,gpt-4o,4,swapped,B,222,6,2026-05-22 17:24:17,
138,UI-11,gpt-4o,5,original,B,222,6,2026-05-22 17:24:17,
139,UI-10,llama-3.3-70b,7,original,A,239,7,2026-05-22 17:24:17,
140,UI-11,gpt-4o,6,original,B,222,6,2026-05-22 17:24:18,
141,UI-11,gpt-4o,5,swapped,B,222,6,2026-05-22 17:24:18,
142,UI-10,llama-3.3-70b,8,original,A,239,7,2026-05-22 17:24:19,
143,UI-11,gpt-4o,6,swapped,B,222,6,2026-05-22 17:24:19,
144,UI-10,llama-3.3-70b,7,swapped,A,239,7,2026-05-22 17:24:19,
145,UI-11,gpt-4o,7,swapped,B,222,6,2026-05-22 17:24:20,
146,UI-10,llama-3.3-70b,8,swapped,A,239,7,2026-05-22 17:24:21,
147,UI-11,gpt-4o,7,original,B,222,6,2026-05-22 17:24:21,
148,UI-11,gpt-4o,8,original,B,222,6,2026-05-22 17:24:21,
149,UI-10,llama-3.3-70b,9,original,A,239,7,2026-05-22 17:24:22,
150,UI-11,gpt-4o,8,swapped,B,222,6,2026-05-22 17:24:22,
151,UI-10,llama-3.3-70b,10,original,A,239,7,2026-05-22 17:24:23,
152,UI-10,llama-3.3-70b,9,swapped,A,239,7,2026-05-22 17:24:24,
153,UI-11,gpt-4o,9,swapped,B,222,6,2026-05-22 17:24:24,
154,UI-11,gpt-4o,9,original,B,222,6,2026-05-22 17:24:25,
155,UI-11,gpt-4o,10,original,B,222,6,2026-05-22 17:24:25,
156,UI-10,llama-3.3-70b,11,original,A,239,7,2026-05-22 17:24:25,
157,UI-11,gpt-4o,10,swapped,B,222,6,2026-05-22 17:24:26,
158,UI-10,llama-3.3-70b,10,swapped,A,239,7,2026-05-22 17:24:26,
159,UI-11,gpt-4o,11,original,B,222,6,2026-05-22 17:24:26,
160,COPY-09,gpt-4o,1,original,B,198,6,2026-05-22 17:24:27,
161,UI-11,gpt-4o,11,swapped,B,222,6,2026-05-22 17:24:27,
162,COPY-08,llama-3.3-70b,1,original,A,226,7,2026-05-22 17:24:27,"{""choice"": ""A""}"
163,COPY-09,gpt-4o,1,swapped,B,198,6,2026-05-22 17:24:28,
164,UI-10,llama-3.3-70b,11,swapped,A,239,7,2026-05-22 17:24:28,
165,UI-11,gpt-4o,12,original,B,222,6,2026-05-22 17:24:28,
166,COPY-09,gpt-4o,2,original,B,198,6,2026-05-22 17:24:29,
167,UI-11,gpt-4o,12,swapped,B,222,6,2026-05-22 17:24:30,
168,UI-10,llama-3.3-70b,12,original,A,239,7,2026-05-22 17:24:30,
169,COPY-08,llama-3.3-70b,1,swapped,A,226,7,2026-05-22 17:24:30,"{""choice"": ""B""}"
170,COPY-09,gpt-4o,2,swapped,B,198,6,2026-05-22 17:24:30,
171,UI-11,gpt-4o,13,original,B,222,6,2026-05-22 17:24:31,
172,COPY-09,gpt-4o,3,original,B,198,6,2026-05-22 17:24:31,
173,UI-10,llama-3.3-70b,12,swapped,A,239,7,2026-05-22 17:24:32,
174,UI-11,gpt-4o,13,swapped,B,222,6,2026-05-22 17:24:32,
175,COPY-08,llama-3.3-70b,2,original,A,226,7,2026-05-22 17:24:32,"{""choice"": ""A""}"
176,COPY-09,gpt-4o,3,swapped,B,198,6,2026-05-22 17:24:33,
177,UI-11,gpt-4o,14,original,B,222,6,2026-05-22 17:24:33,
178,COPY-08,llama-3.3-70b,2,swapped,A,226,7,2026-05-22 17:24:33,
179,COPY-09,gpt-4o,4,original,B,198,6,2026-05-22 17:24:34,
180,UI-10,llama-3.3-70b,13,original,A,239,7,2026-05-22 17:24:34,
181,UI-11,gpt-4o,14,swapped,B,222,6,2026-05-22 17:24:35,
182,COPY-08,llama-3.3-70b,3,original,A,226,7,2026-05-22 17:24:35,
183,COPY-09,gpt-4o,4,swapped,B,198,6,2026-05-22 17:24:35,
184,UI-11,gpt-4o,15,original,B,222,6,2026-05-22 17:24:36,
185,COPY-09,gpt-4o,5,original,B,198,6,2026-05-22 17:24:36,
186,UI-10,llama-3.3-70b,13,swapped,A,239,7,2026-05-22 17:24:36,
187,UI-11,gpt-4o,15,swapped,B,222,6,2026-05-22 17:24:37,
188,COPY-08,llama-3.3-70b,3,swapped,A,226,7,2026-05-22 17:24:37,
189,COPY-09,gpt-4o,5,swapped,B,198,6,2026-05-22 17:24:38,
190,UI-10,llama-3.3-70b,14,original,A,239,7,2026-05-22 17:24:38,
191,UI-11,gpt-4o,16,original,B,222,6,2026-05-22 17:24:38,
192,COPY-09,gpt-4o,6,original,B,198,6,2026-05-22 17:24:39,
193,UI-11,gpt-4o,16,swapped,B,222,6,2026-05-22 17:24:39,
194,COPY-08,llama-3.3-70b,4,original,A,226,7,2026-05-22 17:24:40,
195,UI-10,llama-3.3-70b,14,swapped,A,239,7,2026-05-22 17:24:40,
196,COPY-09,gpt-4o,6,swapped,B,198,6,2026-05-22 17:24:40,
197,UI-11,gpt-4o,17,original,B,222,6,2026-05-22 17:24:41,
198,COPY-09,gpt-4o,7,original,B,198,6,2026-05-22 17:24:41,
199,UI-10,llama-3.3-70b,15,original,A,239,7,2026-05-22 17:24:42,
200,COPY-08,llama-3.3-70b,4,swapped,A,226,7,2026-05-22 17:24:42,
201,UI-11,gpt-4o,17,swapped,B,222,6,2026-05-22 17:24:42,
202,COPY-09,gpt-4o,7,swapped,B,198,6,2026-05-22 17:24:42,
203,COPY-08,llama-3.3-70b,5,original,A,226,7,2026-05-22 17:24:43,
204,UI-11,gpt-4o,18,original,B,222,6,2026-05-22 17:24:44,
205,UI-10,llama-3.3-70b,15,swapped,A,239,7,2026-05-22 17:24:44,
206,UI-10,llama-3.3-70b,16,original,A,239,7,2026-05-22 17:24:45,
207,UI-11,gpt-4o,18,swapped,B,222,6,2026-05-22 17:24:46,
208,COPY-08,llama-3.3-70b,5,swapped,A,226,7,2026-05-22 17:24:46,
209,COPY-09,gpt-4o,8,original,B,198,6,2026-05-22 17:24:47,
210,COPY-09,gpt-4o,8,swapped,B,198,6,2026-05-22 17:24:47,
211,COPY-08,llama-3.3-70b,6,original,A,226,7,2026-05-22 17:24:47,
212,COPY-09,gpt-4o,9,original,B,198,6,2026-05-22 17:24:48,
213,UI-10,llama-3.3-70b,16,swapped,A,239,7,2026-05-22 17:24:48,
214,UI-11,gpt-4o,19,original,B,222,6,2026-05-22 17:24:49,
215,UI-11,gpt-4o,19,swapped,B,222,6,2026-05-22 17:24:50,
216,COPY-08,llama-3.3-70b,6,swapped,A,226,7,2026-05-22 17:24:50,
217,UI-10,llama-3.3-70b,17,original,A,239,7,2026-05-22 17:24:50,
218,COPY-09,gpt-4o,9,swapped,B,198,6,2026-05-22 17:24:51,
219,UI-11,gpt-4o,20,original,B,222,6,2026-05-22 17:24:51,
220,COPY-09,gpt-4o,10,original,B,198,6,2026-05-22 17:24:52,
221,UI-11,gpt-4o,20,swapped,B,222,6,2026-05-22 17:24:52,
222,COPY-08,llama-3.3-70b,7,original,A,226,7,2026-05-22 17:24:52,
223,UI-10,llama-3.3-70b,17,swapped,A,239,7,2026-05-22 17:24:52,
224,UI-11,gpt-4o,21,original,B,222,6,2026-05-22 17:24:53,
225,COPY-09,gpt-4o,10,swapped,B,198,6,2026-05-22 17:24:53,
226,COPY-09,gpt-4o,11,original,B,198,6,2026-05-22 17:24:54,
227,UI-11,gpt-4o,21,swapped,B,222,6,2026-05-22 17:24:54,
228,UI-10,llama-3.3-70b,18,original,A,239,7,2026-05-22 17:24:55,
229,COPY-08,llama-3.3-70b,7,swapped,A,226,7,2026-05-22 17:24:55,
230,UI-11,gpt-4o,22,original,B,222,6,2026-05-22 17:24:55,
231,COPY-09,gpt-4o,11,swapped,B,198,6,2026-05-22 17:24:55,
232,COPY-08,llama-3.3-70b,8,original,A,226,7,2026-05-22 17:24:56,
233,UI-11,gpt-4o,22,swapped,B,222,6,2026-05-22 17:24:57,
234,COPY-09,gpt-4o,12,original,B,198,6,2026-05-22 17:24:57,
235,COPY-09,gpt-4o,12,swapped,B,198,6,2026-05-22 17:24:58,
236,COPY-08,llama-3.3-70b,8,swapped,A,226,7,2026-05-22 17:24:58,
237,UI-11,gpt-4o,23,original,B,222,6,2026-05-22 17:24:58,
238,UI-10,llama-3.3-70b,18,swapped,A,239,7,2026-05-22 17:24:58,
239,COPY-09,gpt-4o,13,original,B,198,6,2026-05-22 17:24:59,
240,UI-11,gpt-4o,23,swapped,B,222,6,2026-05-22 17:24:59,
241,COPY-08,llama-3.3-70b,9,original,A,226,7,2026-05-22 17:25:00,
242,UI-10,llama-3.3-70b,19,original,A,239,7,2026-05-22 17:25:00,
243,COPY-09,gpt-4o,13,swapped,B,198,6,2026-05-22 17:25:00,
244,UI-11,gpt-4o,24,original,B,222,6,2026-05-22 17:25:01,
245,COPY-09,gpt-4o,14,original,B,198,6,2026-05-22 17:25:01,
246,UI-11,gpt-4o,24,swapped,A,222,6,2026-05-22 17:25:02,
247,COPY-08,llama-3.3-70b,9,swapped,A,226,7,2026-05-22 17:25:02,
248,UI-10,llama-3.3-70b,19,swapped,A,239,7,2026-05-22 17:25:03,
249,COPY-09,gpt-4o,14,swapped,B,198,6,2026-05-22 17:25:03,
250,UI-11,gpt-4o,25,original,B,222,6,2026-05-22 17:25:03,
251,UI-10,llama-3.3-70b,20,original,A,239,7,2026-05-22 17:25:04,
252,COPY-09,gpt-4o,15,original,B,198,6,2026-05-22 17:25:04,
253,COPY-08,llama-3.3-70b,10,original,A,226,7,2026-05-22 17:25:04,
254,UI-11,gpt-4o,25,swapped,B,222,6,2026-05-22 17:25:04,
255,COPY-09,gpt-4o,15,swapped,B,198,6,2026-05-22 17:25:05,
256,COPY-09,gpt-4o,16,original,B,198,6,2026-05-22 17:25:05,
257,UI-10,llama-3.3-70b,20,swapped,A,239,7,2026-05-22 17:25:06,
258,COPY-08,llama-3.3-70b,10,swapped,A,226,7,2026-05-22 17:25:06,
259,COPY-09,gpt-4o,16,swapped,B,198,6,2026-05-22 17:25:07,
260,UI-10,llama-3.3-70b,21,original,A,239,7,2026-05-22 17:25:08,
261,COPY-08,llama-3.3-70b,11,original,A,226,7,2026-05-22 17:25:08,
262,COPY-09,gpt-4o,17,swapped,B,198,6,2026-05-22 17:25:08,
263,UI-10,llama-3.3-70b,21,swapped,A,239,7,2026-05-22 17:25:09,
264,COPY-08,llama-3.3-70b,11,swapped,A,226,7,2026-05-22 17:25:09,
265,COPY-09,gpt-4o,18,original,B,198,6,2026-05-22 17:25:10,
266,UI-10,llama-3.3-70b,22,original,A,239,7,2026-05-22 17:25:11,
267,COPY-08,llama-3.3-70b,12,original,A,226,7,2026-05-22 17:25:11,
268,COPY-09,gpt-4o,18,swapped,B,198,6,2026-05-22 17:25:11,
269,COPY-09,gpt-4o,19,original,B,198,6,2026-05-22 17:25:12,
270,UI-10,llama-3.3-70b,22,swapped,A,239,7,2026-05-22 17:25:12,
271,COPY-09,gpt-4o,17,original,B,198,6,2026-05-22 17:25:13,
272,COPY-08,llama-3.3-70b,12,swapped,A,226,7,2026-05-22 17:25:13,
273,COPY-09,gpt-4o,19,swapped,B,198,6,2026-05-22 17:25:14,
274,COPY-09,gpt-4o,20,original,B,198,6,2026-05-22 17:25:14,
275,UI-10,llama-3.3-70b,23,original,A,239,7,2026-05-22 17:25:14,
276,COPY-08,llama-3.3-70b,13,original,A,226,7,2026-05-22 17:25:15,
277,COPY-09,gpt-4o,20,swapped,B,198,6,2026-05-22 17:25:15,
278,COPY-09,gpt-4o,21,original,B,198,6,2026-05-22 17:25:15,
279,COPY-09,gpt-4o,21,swapped,B,198,6,2026-05-22 17:25:16,
280,COPY-08,llama-3.3-70b,13,swapped,A,226,7,2026-05-22 17:25:16,
281,COPY-09,gpt-4o,22,original,B,198,6,2026-05-22 17:25:16,
282,UI-10,llama-3.3-70b,23,swapped,A,239,7,2026-05-22 17:25:17,
283,COPY-09,gpt-4o,22,swapped,B,198,6,2026-05-22 17:25:17,
284,COPY-09,gpt-4o,23,original,B,198,6,2026-05-22 17:25:18,
285,UI-10,llama-3.3-70b,24,original,A,239,7,2026-05-22 17:25:18,
286,COPY-09,gpt-4o,23,swapped,B,198,6,2026-05-22 17:25:19,
287,COPY-09,gpt-4o,24,original,B,198,6,2026-05-22 17:25:19,
288,COPY-08,llama-3.3-70b,14,original,A,226,7,2026-05-22 17:25:20,
289,UI-10,llama-3.3-70b,24,swapped,A,239,7,2026-05-22 17:25:20,
290,COPY-09,gpt-4o,24,swapped,B,198,6,2026-05-22 17:25:20,
291,COPY-09,gpt-4o,25,original,B,198,6,2026-05-22 17:25:20,
292,UI-12,gpt-4o,1,original,B,195,6,2026-05-22 17:25:21,
293,UI-10,llama-3.3-70b,25,original,A,239,7,2026-05-22 17:25:21,
294,COPY-09,gpt-4o,25,swapped,B,198,6,2026-05-22 17:25:21,
295,COPY-08,llama-3.3-70b,14,swapped,A,226,7,2026-05-22 17:25:22,
296,UI-12,gpt-4o,1,swapped,B,195,6,2026-05-22 17:25:22,
297,UI-12,gpt-4o,2,original,B,195,6,2026-05-22 17:25:23,
298,UI-10,llama-3.3-70b,25,swapped,A,239,7,2026-05-22 17:25:23,
299,COPY-08,llama-3.3-70b,15,original,A,226,7,2026-05-22 17:25:24,
300,UI-12,gpt-4o,2,swapped,B,195,6,2026-05-22 17:25:24,
301,UI-12,gpt-4o,3,original,B,195,6,2026-05-22 17:25:24,
302,UI-12,gpt-4o,3,swapped,B,195,6,2026-05-22 17:25:25,
303,COPY-08,llama-3.3-70b,15,swapped,A,226,7,2026-05-22 17:25:25,
304,UI-12,gpt-4o,4,original,B,195,6,2026-05-22 17:25:26,
305,COPY-08,llama-3.3-70b,16,original,A,226,7,2026-05-22 17:25:26,
306,UI-12,gpt-4o,4,swapped,B,195,6,2026-05-22 17:25:26,
307,UI-12,gpt-4o,5,original,B,195,6,2026-05-22 17:25:27,
308,UI-12,gpt-4o,5,swapped,B,195,6,2026-05-22 17:25:27,
309,COPY-08,llama-3.3-70b,17,original,A,226,7,2026-05-22 17:25:28,
310,COPY-08,llama-3.3-70b,16,swapped,A,226,7,2026-05-22 17:25:28,
311,UI-12,gpt-4o,6,original,B,195,6,2026-05-22 17:25:28,
312,UI-12,gpt-4o,6,swapped,B,195,6,2026-05-22 17:25:28,
313,UI-12,gpt-4o,7,swapped,B,195,6,2026-05-22 17:25:30,
314,UI-12,gpt-4o,7,original,B,195,6,2026-05-22 17:25:30,
315,COPY-08,llama-3.3-70b,18,original,A,226,7,2026-05-22 17:25:30,
316,COPY-08,llama-3.3-70b,17,swapped,A,226,7,2026-05-22 17:25:30,
317,UI-12,gpt-4o,8,swapped,B,195,6,2026-05-22 17:25:31,
318,UI-12,gpt-4o,8,original,B,195,6,2026-05-22 17:25:31,
319,COPY-08,llama-3.3-70b,19,original,A,226,7,2026-05-22 17:25:32,
320,UI-12,gpt-4o,9,swapped,B,195,6,2026-05-22 17:25:32,
321,UI-12,gpt-4o,9,original,B,195,6,2026-05-22 17:25:33,
322,COPY-08,llama-3.3-70b,18,swapped,A,226,7,2026-05-22 17:25:33,
323,UI-12,gpt-4o,10,original,B,195,6,2026-05-22 17:25:33,
324,UI-12,gpt-4o,10,swapped,B,195,6,2026-05-22 17:25:34,
325,COPY-08,llama-3.3-70b,20,original,A,226,7,2026-05-22 17:25:34,
326,UI-12,gpt-4o,11,original,B,195,6,2026-05-22 17:25:35,
327,COPY-08,llama-3.3-70b,19,swapped,A,226,7,2026-05-22 17:25:35,
328,COPY-10,gpt-4o,1,original,A,174,6,2026-05-22 17:25:35,
329,UI-12,gpt-4o,11,swapped,B,195,6,2026-05-22 17:25:36,
330,COPY-08,llama-3.3-70b,20,swapped,A,226,7,2026-05-22 17:25:36,
331,COPY-10,gpt-4o,1,swapped,A,174,6,2026-05-22 17:25:36,
332,COPY-08,llama-3.3-70b,21,original,A,226,7,2026-05-22 17:25:37,
333,UI-12,gpt-4o,12,original,B,195,6,2026-05-22 17:25:37,
334,COPY-10,gpt-4o,2,original,A,174,6,2026-05-22 17:25:38,
335,COPY-08,llama-3.3-70b,21,swapped,A,226,7,2026-05-22 17:25:38,
336,UI-12,gpt-4o,12,swapped,B,195,6,2026-05-22 17:25:38,
337,COPY-10,gpt-4o,2,swapped,A,174,6,2026-05-22 17:25:39,
338,COPY-08,llama-3.3-70b,22,original,A,226,7,2026-05-22 17:25:39,
