id,test_id,persona_id,persona_type,model,run_number,ab_order,raw_response,parsed_choice,prompt_tokens,completion_tokens,response_time_ms,timestamp,status,error_message
74,UI-11,D-10,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""A""
}",B,314,9,223,2026-05-22 14:16:29,completed,
86,UI-03,D-01,demographic,llama-3.3-70b,3,swapped,"{
  ""choice"": ""B""
}",A,281,9,319,2026-05-22 14:16:31,completed,
124,COPY-11,D-01,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,245,6,867,2026-05-22 14:16:37,completed,
125,COPY-11,D-01,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,245,6,711,2026-05-22 14:16:37,completed,
127,COPY-11,D-01,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,245,6,610,2026-05-22 14:16:37,completed,
135,COPY-11,D-02,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,245,6,696,2026-05-22 14:16:38,completed,
137,COPY-11,D-02,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,245,6,876,2026-05-22 14:16:38,completed,
142,COPY-11,D-03,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,246,6,536,2026-05-22 14:16:39,completed,
145,UI-12,D-14,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""B""
}",B,285,9,231,2026-05-22 14:16:39,completed,
149,COPY-11,D-03,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,807,2026-05-22 14:16:40,completed,
152,COPY-11,D-04,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,246,6,600,2026-05-22 14:16:41,completed,
155,COPY-11,D-04,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,246,6,943,2026-05-22 14:16:41,completed,
159,REC-02,D-08,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,265,9,324,2026-05-22 14:16:42,completed,
164,COPY-11,D-05,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,247,6,716,2026-05-22 14:16:42,completed,
165,COPY-11,D-05,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,247,6,798,2026-05-22 14:16:42,completed,
171,UI-01,D-11,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,279,6,690,2026-05-22 14:16:45,completed,
172,COPY-11,D-09,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,246,6,623,2026-05-22 14:16:45,completed,
173,UI-01,D-11,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,279,6,703,2026-05-22 14:16:45,completed,
175,COPY-11,D-10,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,246,6,1054,2026-05-22 14:16:46,completed,
176,UI-01,D-13,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,279,6,630,2026-05-22 14:16:46,completed,
177,COPY-11,D-11,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,245,6,591,2026-05-22 14:16:47,completed,
180,UI-01,D-15,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,280,6,756,2026-05-22 14:16:48,completed,
181,COPY-11,D-14,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,245,6,629,2026-05-22 14:16:49,completed,
183,UI-01,D-17,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,279,6,703,2026-05-22 14:16:50,completed,
184,UI-01,D-17,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,279,6,573,2026-05-22 14:16:50,completed,
186,COPY-11,D-15,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,573,2026-05-22 14:16:50,completed,
187,REC-04,D-03,demographic,llama-3.3-70b,3,swapped,"{
  ""choice"": ""B""
}",A,281,9,326,2026-05-22 14:16:52,completed,
192,COPY-11,D-18,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,245,6,2851,2026-05-22 14:16:54,completed,
197,COPY-06,D-13,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,301,9,329,2026-05-22 14:16:56,completed,
207,COPY-08,D-05,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,294,9,321,2026-05-22 14:17:02,completed,
212,COPY-08,D-18,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,293,9,486,2026-05-22 14:17:04,completed,
213,UI-11,D-02,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,273,6,683,2026-05-22 14:17:05,completed,
214,UI-11,D-02,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,273,6,796,2026-05-22 14:17:05,completed,
218,REC-07,D-05,demographic,llama-3.3-70b,3,swapped,"{
  ""choice"": ""B""
}",A,294,9,549,2026-05-22 14:17:06,completed,
220,UI-11,D-07,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,273,6,923,2026-05-22 14:17:08,completed,
225,UI-11,D-12,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,276,6,707,2026-05-22 14:17:11,completed,
226,UI-11,D-12,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,276,6,658,2026-05-22 14:17:11,completed,
229,UI-11,D-16,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,274,6,724,2026-05-22 14:17:13,completed,
240,REC-01,D-03,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,234,6,702,2026-05-22 14:17:19,completed,
241,UI-03,D-05,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,245,6,742,2026-05-22 14:17:19,completed,
242,UI-03,D-05,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,245,6,829,2026-05-22 14:17:20,completed,
244,REC-01,D-05,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,235,6,652,2026-05-22 14:17:21,completed,
246,REC-01,D-05,demographic,gpt-4o,3,original,"{""choice"": ""B""}",B,235,6,663,2026-05-22 14:17:21,completed,
248,UI-03,D-10,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,244,6,702,2026-05-22 14:17:22,completed,
249,UI-03,D-10,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,244,6,772,2026-05-22 14:17:22,completed,
250,REC-01,D-08,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,234,6,1090,2026-05-22 14:17:23,completed,
251,REC-01,D-08,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,234,6,1045,2026-05-22 14:17:23,completed,
252,REC-01,D-08,demographic,gpt-4o,3,original,"{""choice"": ""A""}",A,234,6,853,2026-05-22 14:17:23,completed,
255,REC-01,D-11,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,233,6,600,2026-05-22 14:17:25,completed,
257,UI-03,D-13,demographic,gpt-4o,3,original,"{""choice"": ""A""}",A,243,6,790,2026-05-22 14:17:25,completed,
259,REC-01,D-12,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,236,6,625,2026-05-22 14:17:25,completed,
260,UI-03,D-14,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,243,6,826,2026-05-22 14:17:25,completed,
263,UI-01,D-19,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,321,9,319,2026-05-22 14:17:28,completed,
264,UI-03,D-19,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,244,6,610,2026-05-22 14:17:28,completed,
265,UI-03,D-19,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,244,6,655,2026-05-22 14:17:28,completed,
266,UI-03,D-19,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,244,6,792,2026-05-22 14:17:28,completed,
267,REC-01,D-17,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,233,6,572,2026-05-22 14:17:28,completed,
274,UI-11,D-10,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""B""
}",B,314,9,514,2026-05-22 14:17:32,completed,
276,UI-03,D-03,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,282,9,235,2026-05-22 14:17:34,completed,
280,UI-03,D-18,demographic,llama-3.3-70b,3,original,"{
  ""choice"": ""B""
}",B,281,9,538,2026-05-22 14:17:36,completed,
289,UI-12,D-01,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,246,6,719,2026-05-22 14:17:39,completed,
294,UI-12,D-07,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,246,6,645,2026-05-22 14:17:42,completed,
296,UI-12,D-07,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,710,2026-05-22 14:17:43,completed,
302,COPY-04,D-17,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""B""
}",B,278,9,492,2026-05-22 14:17:46,completed,
303,UI-12,D-12,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,249,6,1383,2026-05-22 14:17:46,completed,
304,UI-12,D-12,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,249,6,1999,2026-05-22 14:17:47,completed,
311,UI-12,D-20,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,829,2026-05-22 14:17:51,completed,
312,UI-12,D-20,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,246,6,767,2026-05-22 14:17:51,completed,
313,UI-12,D-20,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,246,6,1388,2026-05-22 14:17:51,completed,
315,UI-12,D-16,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,247,6,5180,2026-05-22 14:17:52,completed,
319,UI-06,D-01,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,255,6,630,2026-05-22 14:17:53,completed,
321,REC-02,D-01,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,225,6,555,2026-05-22 14:17:54,completed,
322,REC-02,D-02,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,225,6,936,2026-05-22 14:17:55,completed,
323,REC-02,D-03,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,226,6,565,2026-05-22 14:17:55,completed,
324,REC-02,D-02,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,225,6,926,2026-05-22 14:17:55,completed,
327,REC-02,D-08,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,226,6,779,2026-05-22 14:17:57,completed,
328,REC-02,D-08,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,226,6,633,2026-05-22 14:17:57,completed,
331,REC-02,D-11,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,225,6,715,2026-05-22 14:17:59,completed,
333,REC-02,D-13,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,225,6,614,2026-05-22 14:18:00,completed,
334,UI-06,D-11,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,295,9,345,2026-05-22 14:18:00,completed,
335,REC-02,D-14,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,225,6,699,2026-05-22 14:18:00,completed,
337,REC-02,D-14,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,225,6,795,2026-05-22 14:18:00,completed,
338,REC-02,D-15,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,226,6,569,2026-05-22 14:18:01,completed,
343,REC-02,D-20,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,225,6,1037,2026-05-22 14:18:03,completed,
358,COPY-04,D-07,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,233,6,877,2026-05-22 14:18:12,completed,
362,COPY-04,D-13,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,233,6,627,2026-05-22 14:18:16,completed,
365,COPY-04,D-13,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,233,6,770,2026-05-22 14:18:16,completed,
366,COPY-04,D-13,demographic,gpt-4o,3,original,"{""choice"": ""B""}",B,233,6,806,2026-05-22 14:18:17,completed,
368,COPY-04,D-12,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,236,6,2970,2026-05-22 14:18:18,completed,
369,COPY-04,D-15,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,234,6,587,2026-05-22 14:18:18,completed,
370,COPY-04,D-15,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,234,6,626,2026-05-22 14:18:18,completed,
374,COPY-04,D-07,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,233,6,7256,2026-05-22 14:18:19,completed,
375,COPY-04,D-16,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,234,6,631,2026-05-22 14:18:19,completed,
376,COPY-04,D-17,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,233,6,653,2026-05-22 14:18:19,completed,
377,COPY-10,D-12,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,265,9,310,2026-05-22 14:18:20,completed,
380,UI-10,D-07,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""A""
}",B,306,9,507,2026-05-22 14:18:25,completed,
381,UI-10,D-08,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""B""
}",B,307,9,520,2026-05-22 14:18:25,completed,
414,REC-03,D-11,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,246,6,742,2026-05-22 14:18:26,completed,
418,REC-03,D-11,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,246,6,597,2026-05-22 14:18:26,completed,
543,REC-03,D-16,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,247,6,721,2026-05-22 14:18:28,completed,
592,UI-01,D-16,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""B""
}",B,322,9,284,2026-05-22 14:18:28,completed,
1105,COPY-05,D-07,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,245,6,563,2026-05-22 14:18:36,completed,
1109,REC-01,D-09,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,274,9,395,2026-05-22 14:18:37,completed,
1281,COPY-05,D-15,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,246,6,648,2026-05-22 14:18:39,completed,
1287,COPY-05,D-15,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,685,2026-05-22 14:18:39,completed,
1322,COPY-05,D-16,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,706,2026-05-22 14:18:40,completed,
1500,UI-12,D-19,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""B""
}",B,286,9,333,2026-05-22 14:18:42,completed,
1600,REC-04,D-03,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,242,6,754,2026-05-22 14:18:44,completed,
1627,REC-02,D-09,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,265,9,314,2026-05-22 14:18:44,completed,
1725,REC-04,D-02,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,241,6,3182,2026-05-22 14:18:46,completed,
1763,REC-04,D-08,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,242,6,861,2026-05-22 14:18:47,completed,
1764,REC-04,D-08,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,242,6,760,2026-05-22 14:18:47,completed,
2028,REC-03,D-16,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,286,9,342,2026-05-22 14:18:51,completed,
2148,COPY-05,D-04,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""A""
}",B,287,9,314,2026-05-22 14:18:53,completed,
2387,REC-04,D-13,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,280,9,310,2026-05-22 14:18:56,completed,
2460,COPY-06,D-01,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,257,6,744,2026-05-22 14:18:58,completed,
2606,COPY-06,D-06,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,257,6,577,2026-05-22 14:19:00,completed,
2750,COPY-06,D-12,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,260,6,864,2026-05-22 14:19:02,completed,
2788,UI-06,D-07,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,295,9,335,2026-05-22 14:19:03,completed,
2900,COPY-06,D-17,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,257,6,935,2026-05-22 14:19:05,completed,
3090,COPY-06,D-12,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,260,6,6791,2026-05-22 14:19:08,completed,
3175,REC-06,D-05,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,247,6,756,2026-05-22 14:19:10,completed,
3344,REC-06,D-12,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,248,6,760,2026-05-22 14:19:12,completed,
3357,REC-06,D-13,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,245,6,604,2026-05-22 14:19:13,completed,
3474,REC-06,D-17,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,245,6,668,2026-05-22 14:19:15,completed,
3494,UI-06,D-06,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,255,6,653,2026-05-22 14:19:15,completed,
3505,UI-06,D-06,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,255,6,880,2026-05-22 14:19:15,completed,
3511,REC-06,D-17,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,245,6,947,2026-05-22 14:19:15,completed,
3768,REC-08,D-02,demographic,llama-3.3-70b,3,original,"{
  ""choice"": ""A""
}",A,289,9,506,2026-05-22 14:19:19,completed,
3875,UI-09,D-05,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,290,9,311,2026-05-22 14:19:21,completed,
4480,COPY-08,D-19,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,256,6,683,2026-05-22 14:19:35,completed,
4482,UI-01,D-03,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,280,6,1350,2026-05-22 14:19:36,completed,
4483,UI-01,D-06,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,279,6,722,2026-05-22 14:19:38,completed,
4486,REC-07,D-02,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,252,6,675,2026-05-22 14:19:40,completed,
4488,REC-07,D-03,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,253,6,761,2026-05-22 14:19:41,completed,
4490,REC-07,D-08,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,253,6,1127,2026-05-22 14:19:44,completed,
4491,REC-07,D-12,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,255,6,862,2026-05-22 14:19:46,completed,
4493,REC-07,D-12,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,255,6,973,2026-05-22 14:19:46,completed,
4494,UI-07,D-06,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,273,6,658,2026-05-22 14:19:48,completed,
4495,REC-07,D-18,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,252,6,1010,2026-05-22 14:19:49,completed,
4499,UI-07,D-13,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,273,6,600,2026-05-22 14:19:52,completed,
4500,UI-07,D-13,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,273,6,1771,2026-05-22 14:19:53,completed,
4503,UI-07,D-19,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,274,6,974,2026-05-22 14:19:56,completed,
4505,COPY-09,D-01,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,249,6,676,2026-05-22 14:19:59,completed,
4506,COPY-09,D-01,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,249,6,982,2026-05-22 14:19:59,completed,
4508,COPY-09,D-06,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,249,6,853,2026-05-22 14:20:02,completed,
4509,COPY-09,D-06,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,249,6,1074,2026-05-22 14:20:02,completed,
4510,COPY-09,D-09,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,250,6,759,2026-05-22 14:20:04,completed,
4512,COPY-09,D-10,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,250,6,570,2026-05-22 14:20:04,completed,
4514,REC-08,D-06,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,247,6,627,2026-05-22 14:20:14,completed,
4516,REC-08,D-09,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,248,6,717,2026-05-22 14:20:16,completed,
4518,REC-08,D-12,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,250,6,574,2026-05-22 14:20:17,completed,
4520,REC-08,D-12,demographic,gpt-4o,3,original,"{""choice"": ""B""}",B,250,6,953,2026-05-22 14:20:18,completed,
4522,REC-08,D-17,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,247,6,708,2026-05-22 14:20:20,completed,
4523,UI-09,D-06,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,248,6,827,2026-05-22 14:20:21,completed,
4524,REC-08,D-17,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,247,6,980,2026-05-22 14:20:21,completed,
4525,UI-09,D-10,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,249,6,647,2026-05-22 14:20:23,completed,
4527,UI-09,D-14,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,248,6,742,2026-05-22 14:20:25,completed,
4528,UI-09,D-14,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,248,6,898,2026-05-22 14:20:25,completed,
4534,COPY-10,D-12,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,228,6,532,2026-05-22 14:20:37,completed,
4535,COPY-10,D-12,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,228,6,616,2026-05-22 14:20:37,completed,
4545,REC-11,D-15,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,224,6,677,2026-05-22 14:20:51,completed,
4546,REC-11,D-15,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,224,6,653,2026-05-22 14:20:51,completed,
4548,REC-11,D-16,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,224,6,762,2026-05-22 14:20:52,completed,
4549,UI-10,D-10,demographic,gpt-4o,3,original,"{""choice"": ""A""}",A,266,6,732,2026-05-22 14:20:54,completed,
4550,UI-10,D-10,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,266,6,838,2026-05-22 14:20:54,completed,
4554,UI-10,D-14,demographic,gpt-4o,3,original,"{""choice"": ""B""}",B,265,6,846,2026-05-22 14:20:57,completed,
4555,COPY-11,D-09,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,246,6,579,2026-05-22 14:21:00,completed,
4556,COPY-11,D-08,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,246,6,1494,2026-05-22 14:21:00,completed,
4559,COPY-11,D-17,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,245,6,901,2026-05-22 14:21:05,completed,
4560,COPY-11,D-18,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,245,6,657,2026-05-22 14:21:05,completed,
4567,UI-11,D-03,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,274,6,626,2026-05-22 14:21:16,completed,
4568,UI-11,D-03,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,274,6,902,2026-05-22 14:21:16,completed,
4569,UI-11,D-05,demographic,gpt-4o,3,original,"{""choice"": ""A""}",A,275,6,648,2026-05-22 14:21:17,completed,
4570,UI-11,D-04,demographic,gpt-4o,3,swapped,"{""choice"": ""A""}",B,274,6,768,2026-05-22 14:21:17,completed,
4572,UI-11,D-10,demographic,gpt-4o,1,original,"{""choice"": ""B""}",B,274,6,642,2026-05-22 14:21:19,completed,
4573,UI-09,D-11,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,289,9,3552,2026-05-22 14:21:40,completed,
4578,UI-09,D-11,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,289,9,3582,2026-05-22 14:21:40,completed,
4579,UI-09,D-11,demographic,llama-3.3-70b,3,swapped,"{
  ""choice"": ""B""
}",A,289,9,3586,2026-05-22 14:21:40,completed,
4584,UI-09,D-12,demographic,llama-3.3-70b,3,swapped,"{
  ""choice"": ""B""
}",A,291,9,366,2026-05-22 14:21:40,completed,
4585,UI-09,D-12,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,291,9,374,2026-05-22 14:21:40,completed,
4587,UI-09,D-12,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,291,9,423,2026-05-22 14:21:40,completed,
4595,UI-09,D-13,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,289,9,264,2026-05-22 14:21:41,completed,
4596,UI-09,D-12,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,251,6,4243,2026-05-22 14:21:41,completed,
4603,UI-09,D-13,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,289,9,358,2026-05-22 14:21:41,completed,
4604,UI-09,D-13,demographic,llama-3.3-70b,3,swapped,"{
  ""choice"": ""B""
}",A,289,9,363,2026-05-22 14:21:41,completed,
4606,UI-09,D-14,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,289,9,333,2026-05-22 14:21:41,completed,
